user,item,time
0,46,1238536800
0,47,1238536800
0,48,1238536800
0,49,1238536800
0,50,1238536800
0,51,1238536800
0,52,1238536800
0,53,1238536800
0,54,1238536800
0,55,1238536800
0,56,1238536800
0,57,1238536800
0,58,1238536800
0,59,1238536800
0,60,1238536800
0,61,1238536800
0,62,1238536800
0,63,1238536800
0,64,1238536800
0,65,1238536800
0,66,1238536800
0,67,1238536800
0,68,1238536800
0,69,1238536800
0,70,1238536800
0,71,1238536800
0,72,1238536800
0,73,1238536800
0,74,1238536800
0,75,1238536800
0,76,1238536800
0,77,1238536800
0,78,1238536800
0,79,1238536800
0,80,1238536800
0,81,1238536800
0,82,1238536800
0,83,1238536800
0,84,1238536800
0,85,1238536800
0,86,1238536800
0,87,1238536800
0,88,1238536800
0,89,1238536800
0,90,1238536800
0,91,1238536800
0,92,1238536800
0,93,1238536800
0,94,1238536800
1,116,1233442800
1,102,1254348000
1,131,1254348000
1,122,1264978800
1,96,1280613600
1,97,1280613600
1,98,1280613600
1,99,1280613600
1,101,1280613600
1,103,1280613600
1,104,1280613600
1,105,1280613600
1,106,1280613600
1,107,1280613600
1,108,1280613600
1,109,1280613600
1,110,1280613600
1,111,1280613600
1,112,1280613600
1,113,1280613600
1,114,1280613600
1,115,1280613600
1,117,1280613600
1,118,1280613600
1,119,1280613600
1,120,1280613600
1,121,1280613600
1,123,1280613600
1,124,1280613600
1,125,1280613600
1,126,1280613600
1,127,1280613600
1,129,1280613600
1,130,1280613600
1,132,1280613600
1,133,1280613600
1,134,1280613600
1,135,1280613600
1,136,1280613600
1,137,1280613600
1,138,1280613600
1,139,1280613600
1,140,1280613600
1,141,1280613600
1,142,1280613600
1,143,1280613600
1,144,1280613600
1,128,1283292000
1,100,1288566000
2,146,1172703600
2,175,1172703600
2,164,1175378400
2,177,1175378400
2,161,1177970400
2,187,1177970400
2,66,1180648800
2,145,1180648800
2,150,1180648800
2,158,1180648800
2,167,1180648800
2,168,1180648800
2,169,1180648800
2,182,1180648800
